time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2019-02-08T04:01:19.874Z,12.841815,80.157288,,23.31,,,0,network,,,,,,,,100,
2019-02-08T04:04:15.593Z,12.841811,80.157291,,24.245,,,0,network,,,,,,,,100,
2019-02-08T04:06:29.225Z,12.841815,80.157288,,23.29,,,0,network,,,,,,,,100,
2019-02-08T04:14:01.206Z,12.841815,80.157287,,24.213,,,0,network,,,,,,,,100,
2019-02-08T04:16:31.315Z,12.841815,80.157287,,24.186,,,0,network,,,,,,,,100,
2019-02-08T04:19:02.716Z,12.841815,80.157288,,24.232,,,0,network,,,,,,,,100,
2019-02-08T04:20:28.413Z,12.841810,80.157279,,24.198,,,0,network,,,,,,,,100,
2019-02-08T04:23:18.094Z,12.841802,80.157276,-67.30000305175781,24.124,,,0,network,,,,,,,,100,
2019-02-08T04:24:43.486Z,12.841815,80.157262,-67.4000015258789,23.876,,,0,network,,,,,,,,100,
2019-02-08T04:25:44.466Z,12.841815,80.157262,-67.4000015258789,24.01,,,0,network,,,,,,,,100,
2019-02-08T04:26:49.499Z,12.841815,80.157262,-67.4000015258789,23.97,,,0,network,,,,,,,,100,
2019-02-08T04:28:21.847Z,12.841810,80.157279,-67.30000305175781,24.127,,,0,network,,,,,,,,100,
2019-02-08T04:29:43.875Z,12.841811,80.157280,,24.051,,,0,network,,,,,,,,100,
2019-02-08T04:31:01.538Z,12.841811,80.157280,,24.098,,,0,network,,,,,,,,100,
2019-02-08T04:31:58.819Z,12.841807,80.157271,-67.30000305175781,22.935,,,0,network,,,,,,,,100,
2019-02-08T04:33:09.909Z,12.841815,80.157288,,24.16,,,0,network,,,,,,,,99,
2019-02-08T04:34:27.858Z,12.841815,80.157277,,23.156,,,0,network,,,,,,,,99,
2019-02-08T04:36:01.779Z,12.841815,80.157288,,23.174,,,0,network,,,,,,,,99,
2019-02-08T04:37:03.751Z,12.841814,80.157261,-67.4000015258789,23.987,,,0,network,,,,,,,,98,
2019-02-08T04:38:00.659Z,12.841807,80.157269,-67.30000305175781,23.098,,,0,network,,,,,,,,98,
2019-02-08T04:40:01.909Z,12.841803,80.157277,-67.30000305175781,23.164,,,0,network,,,,,,,,98,
2019-02-08T04:41:24.411Z,12.841807,80.157269,-67.30000305175781,23.007,,,0,network,,,,,,,,98,
2019-02-08T04:42:26.389Z,12.841806,80.157269,-67.30000305175781,24.084,,,0,network,,,,,,,,98,
2019-02-08T04:43:45.610Z,12.841806,80.157269,-67.30000305175781,23.988,,,0,network,,,,,,,,97,
2019-02-08T04:44:53.739Z,12.841806,80.157269,-67.30000305175781,24.0,,,0,network,,,,,,,,97,
2019-02-08T04:46:15.272Z,12.841802,80.157276,-67.30000305175781,24.137,,,0,network,,,,,,,,97,
2019-02-08T04:47:20.949Z,12.841810,80.157279,-67.30000305175781,24.172,,,0,network,,,,,,,,97,
2019-02-08T04:49:01.779Z,12.841803,80.157277,-67.30000305175781,23.253,,,0,network,,,,,,,,96,
2019-02-08T04:50:23.842Z,12.841811,80.157280,-67.30000305175781,24.266,,,0,network,,,,,,,,96,
2019-02-08T04:51:25.831Z,12.841803,80.157276,-67.30000305175781,24.292,,,0,network,,,,,,,,96,
2019-02-08T04:52:47.560Z,12.841803,80.157276,-67.30000305175781,24.288,,,0,network,,,,,,,,96,
2019-02-08T04:54:01.841Z,12.841803,80.157276,,24.354,,,0,network,,,,,,,,96,
2019-02-08T04:54:45.971Z,12.841811,80.157281,,24.103,,,0,network,,,,,,,,95,
2019-02-08T04:56:45.988Z,12.841811,80.157280,,24.232,,,0,network,,,,,,,,95,
2019-02-08T04:58:01.850Z,12.841815,80.157288,,24.25,,,0,network,,,,,,,,95,
2019-02-08T04:58:46.030Z,12.841815,80.157287,,24.29,,,0,network,,,,,,,,95,
2019-02-08T05:00:46.181Z,12.841814,80.157286,,24.323,,,0,network,,,,,,,,94,
2019-02-08T05:01:50.469Z,12.841810,80.157279,-67.4000015258789,24.263,,,0,network,,,,,,,,94,
2019-02-08T05:02:46.151Z,12.841810,80.157279,-67.4000015258789,24.216,,,0,network,,,,,,,,94,
2019-02-08T05:04:46.232Z,12.841802,80.157276,-67.30000305175781,24.124,,,0,network,,,,,,,,94,
